ID	ROOT	ROOT_NTWS	ROOT_1	LEMMA	LEMMA_SEARCH	FORM	LEMMA_BW	FORM_BW	CAPHI++	ANALYSIS	GLOSS	GLOSS_MSA	EXAMPLE_USAGE	NOTES	SOURCE	ANNOTATOR
1	ء.ب.د		ء	أَبَد	أبد	أَبَد	>abad	>abad	2 a b a d	NOUN:MS	eternity;forever					شهد دعباس
2	ء.ب.ر		ء	إِبْرِة	إبرة	إِبْرِة	<iborip	<iborip	2 i b r e	NOUN:FS	needle;injection	إِبْرَة#حُقْنَة	في إِبْرِة وقعت تحت الكنب دير بالك.#أخذت ابرة الأنسولين ولّا؟			شهد دعباس
3	ء.ب.ر		ء	إِبْرِة	إبرة	إِبَر	<iborip	<ibar	2 i b a r	NOUN:P	needle;injection_[auto]		بموت رعبة من الإِبَر أنا وأحيانا بغوطن بس أشوف حدا بينطزع إِبْرِة قدامي			شهد دعباس
4	ء.ب.ر		ء	إِبْرِة	إبرة	قَدّ خُرُم الإِبْرِة	<iborip	qad~ xurum Al<iborip	Q a d d # kh u r u m # 2 i l 2 i b r e	NOUN:PHRASE	very_small;tiny	صغير جدا	ابنك خَزَق الورقة خزُق قَد خُرْم الإِبْرِة			شهد دعباس
5	ء.ب.ر		ء	إِبْرِة	إبرة	إِبْرِة العَجُوزِة	<iborip	<iborip AlEajuwzip	2 i b r i t i l # 3 a J uu z e	NOUN:PHRASE	It_is_a_traditional_dish_that_is_made_of_Astragalus_Caprinus_and_fried_onions	إِنه طبق تقليدي مصنوع من نبات "القتاد الماعزي" والبصل المقلي	بقت إِمي الله يرحمها تحوسلنا عالغدا إِبْرِة العَجُوزِة وتقحمشلنا كمايج خبز. فش أحلى من هذيك الأيام!	cultural/food		شهد دعباس
6	ء.ب.ر		ء	إِبْرِة	إبرة	الإِبْرِة غلبت الحَايِك	<iborip	Al<iborip glbt AlHaAyik	2 i l 2 i b r e # gh a l b a t # 2 i l 7 aa y i k	NOUN:PHRASE	it_is_an_idiomatic_expression_that_means_that_the_needle_can_fix_issues_more_than_many_human_beings					شهد دعباس
7	ء.ب.ر		ء	إِبْرِة	إبرة	مِن إِبْرِتُه	<iborip	min <iborituh	m i n # 2 i b i r t o	NOUN:PHRASE	new_(clothes);sth_that_has_not_been_worn_before		جبتلها ثوب مِن إِبْرِتُه والله ماحدا لبسه من قبل			شهد دعباس
8	ء.ب.ط		ء	أَبَاط	أباط	أَبَاط	>abaAT	>abaAT	2 a b aa t.	NOUN:MS	armpit	إِبْط	ولك ليش أباطك أسود هيك؟			شهد دعباس
9	ء.ب.ط		ء	بَاط	باط	بَاط	baAT	baAT	b aa t.	NOUN:MS	armpit	إِبْط				شهد دعباس
10	ء.ب.ط		ء	بَاط	باط	حَطُّه تحت بَاطُه	baAT	HaT~uh tHt baATuh	7 a t. t. o # t a 7 i t # b aa t. o	NOUN:PHRASE	put_someone_under_sb's_armpits_(control_sb;manipulate)	يَتَحكَّم بشخص	متخيل انه مختار القرية حَطُّه تحت باطُه بكل سهولة			شهد دعباس
11	ء.ب.و		ء	أَب	أب	أَب	>ab	>ab	2 a b	NOUN:MS	father	أب	الله يرحمه أبوه بقى زلمة مليح وبينشد فيه الظهر			شهد دعباس
12	ء.ب.و		ء	أَب	أب	إِبْوِة	>ab	<ibowip	2 i b w e	NOUN:P	father_[auto]					شهد دعباس
13	ء.ب.و		ء	أَب	أب	آبَاء	>ab	|baA'	2 aa b aa 2	NOUN:P	father_[auto]					شهد دعباس
14	ء.ب.و		ء	أَب	أب	أَبَّهَات	>ab	>ab~ahaAt	2 a b b a h aa t	NOUN:P	father_[auto]		شايف وين أبَّهاتنا قاعدين غاد عند البلوكة؟			شهد دعباس
15	ء.ب.و		ء	أَبُو	أبو	أَبُو حْمَار	>abuw	>abuw HomaAr	2 a b u # 7 m aa r	NOUN:PHRASE	chickenpox	جدري الماء	طلع معاه أبو حمار الحزين	archaic	طولكرم	شهد دعباس
16	ء.ب.و		ء	أَبُو	أبو	مِش مَعْرُوف قَرْعِة أَبُوهَا مِن وين	>abuw	mi$ maEoruwf qaroEip >abuwhaA min wyn	m i sh # m a 3 r uu f # Q a r 3 i t # 2 a b uu h a # m i n # w ee n	NOUN:PHRASE	It_is_an_idiomatic_expression_that_means_that_sb's_family_or_origins_is_unknown	من عائلة ليست بمعروفة	جايبلنا وحدة مش معروف قَرْعَة أبوها من وين وبتقول بدك تتجوزها؟			شهد دعباس
17	ء.ب.و		ء	أَبُو	أبو	أَبُو صُرَّة	>abuw	>abuw Sur~ap	2 a b u # s. u r r a	NOUN:PHRASE	a_type_of_orange_in_Palestine_(Washington_navel_orange)	نوع من انواع البرتقال في فلسطين				شهد دعباس
18	ء.ب.و		ء	أَبُو	أبو	أَبُو كمُّونة	>abuw	>abuw km~uwnp	2 a b u # k a m m uu n e	NOUN:PHRASE	stingy	بخيل	خالها هذا أبو كمُّونة والله مابيدفع تعريفة بعرس ابنه			عمر سعدي
19	ء.ب.و		ء	أَبُو	أبو	أَبُو العُرِّيف	>abuw	>abuw AlEur~iyf	2 a b u l # 3 u r r ee f	NOUN:PHRASE	it_is_an_idiomatic_expression_that_means_"the_one_who_thinks_he_knows_everything";Mr._know-it-all	الشخص الذي يعتقد انه يعلم كل شيء	اه يا أبو العريف افتيلنا بقصة هالأرض	sarcastic	الضفة الغربية	عمر سعدي
20	ء.ب.و		ء	أَبُو	أبو	أَبُو العَكَّات	>abuw	>abuw AlEak~aAt	2 a b u l # 3 a k k aa t	NOUN:PHRASE	it_is_an_idiomatic_expression_that_means_"the_one_who's_always_in_trouble"	الشخص الذي يقع في المشاكل دائما	هاي إجى ابو العَكّات. شو المصيبة اللي عاملها هاي المرَّة؟		الشمال	عمر سعدي
21	ء.ب.و		ء	أَبُو	أبو	أَبُو عِيسَى	>abuw	>abuw EiysaY	2 a b u # 3 ii s a	NOUN:PHRASE	the_American_dog_tick	القُرّاد الأمريكي		insect		شهد دعباس
22	ء.ب.و		ء	أَبُو	أبو	أَبُو دْغيم	>abuw	>abuw dogym	2 a b u # d gh ee m	NOUN:PHRASE	mumps	مرض النُّكاف	وجهه تْنَفَّخ من أبو دغيم الحزين			شهد دعباس
23	ء.ب.و		ء	أَبُو	أبو	أَبُو رِجِل مَسْلُوخَة	>abuw	>abuw rijil masoluwxap	2 a b u # r i J i l # m a s l uu kh a	NOUN:PHRASE	(The_man_with_a_skinned_leg)_"it_is_a_mythical_creature_that_is_used_to_scare_children_in_order_to_make_them_sleep_early_or_not_go_far_from_their_houses"_(as_he_is_believed_to_kidnap_children).		إِذا مانمتوا بكير رح يجيكم أبو رجل مسلوخة يخطفكم ويقطعكم مثل لحمة لسان العصفور ويرميكم للكلاب.	cultural		شهد دعباس
24	ء.ب.و		ء	أَبُو	أبو	أَبُو رَاس	>abuw	>abuw raAs	2 a b u # r aa s	NOUN:PHRASE	it_is_an_idiomatic_expression_that_is_used_to_describe_someone._It_means_that_sb__has_a_big_head,_but_that_does_not_necessarily_mean_that_his_head_is_just_big._It_might_also_mean_that_sb_is_stubborn.			sarcastic		شهد دعباس
25	ء.ب.و		ء	أَبُو	أبو	أَبُو نُص لْسَان	>abuw	>abuw nuS losaAn	2 a b u # n u s. s. # l s aa n	NOUN:PHRASE	it_is_an_idiomatic_expression_that_means_that_a_child_speaks_like_mature_people;a_talkative_child		أنت كمان بدك تشرب شاي زينا وتديون مع الكبار يا أبو نُصّ لسان!			شهد دعباس
26	ء.ب.و		ء	أَبُو	أبو	أَبُو قَاتُول	>abuw	>abuw qaAtuwl	2 a b u # q aa t uu l	NOUN:PHRASE	Orobanche/_Balanophora_as_root_parasite_that_attaches_to_the_root_of_the_plant_and_absorbs_water_and_nutrition_from_the_soil_thus_restricting_the_plant_from_absorbing_water_and_nutrition.			Agriculture		شهد دعباس
27	ء.ب.و		ء	أَبُو	أبو	أَبُو هَالُوك	>abuw	>abuw haAluwk	2 a b u # h aa l uu k	NOUN:PHRASE	Orobanche/_Balanophora_as_root_parasite_that_attaches_to_the_root_of_the_plant_and_absorbs_water_and_nutrition_from_the_soil_thus_restricting_the_plant_from_absorbing_water_and_nutrition.			Agriculture		شهد دعباس
28	ء.ب.و		ء	بَابَا	بابا	بَابَا	baAbaA	baAbaA	b aa b a	NOUN:MS	daddy;father_Pope					شهد دعباس
29	ء.ب.و		ء	يَابَا	يابا	يَابَا	yaAbaA	yaAbaA	y aa b a	NOUN:MS	daddy;father					شهد دعباس
30	ء.ب.و		ء	أَبُو	أبو	أَبُو	>abuw	>abuw	2 a b u	NOUN:MS	the_father_of;the_possessor_of;having_a_particular_quality	أبا				شهد دعباس
31	NTWS	ء.ب.ي.ل.ا	ء	أَبَيلَا	أبيلا	أَبَيلَا	>abaylaA	>abaylaA	2 a b ee l a	INTERJ	exactly;indeed	بالضّبط#حَقّاً	أَبَيلا! هاد اللي صار بالضَّبْط!		الخليل	شهد دعباس
32	NTWS	ء.ت.ا.ر.ي	ء	أَتَاري	أتاري	أَتَاري	>ataAry	>ataAry	2 a t aa r i	NOUN:MS	video_game_(Atari)		لمين أعطى الأَتارِي؟ بدي ألعب شوي قبل ما يجوا الضيوف			شهد دعباس
33	NTWS	ء.ت.ا.ر.ي	ء	أَتَاري	أتاري	أَتَاري	>ataAry	>ataAry	2 a t aa r i	VERB_PSEUDO	It_is_a_particle_that_means_"I_have_just_discovered"		وأنا مفكرته إِنه أجدب وعالبركة وأتاريه بيجدِبها علينا طول هالوقت			شهد دعباس
34	ء.ث.ث		ء	مؤثَّث	مؤثث	مؤثَّث	m&v~av	m&v~av	m 2 a th th a th	ADJ:MS	furnished	مَفْروش بالأثاث المنزلي	كان ضايل عالعرس أسبوعين وكان البيت مؤثَّث بالكامل ومع هيك ما صار نصيب وفسخوا			شهد دعباس
35	ء.ث.ث		ء	أَثَاث	أثاث	أَثَاث	>avaAv	>avaAv	2 a th aa th	NOUN:MS	furniture	الأثاث المنزلي	أثاث دارنا مهرجل ومْعِتّ. صار بده تغيير، بس منَّلنا مصاري؟	Non-count		شهد دعباس
36	ء.ث.ث		ء	تَأْثِيث	تأثيث	تَأْثِيث	ta>oviyv	ta>oviyv	t a 2 th ii th	NOUN:MS	furnishing_(a_place)		تأثيث الدار بِدُّه بقرة جحا. انتو حمل هيك مصاريف هَسَّه؟			شهد دعباس
37	ء.ث.ث		ء	أَثَّث	أثث	أَثِّث	>av~av	>av~iv	2 a th th i th	VERB:C	furnish_(a_place)_[auto]					شهد دعباس
38	ء.ث.ث		ء	أَثَّث	أثث	يؤثِّث	>av~av	y&v~iv	y 2 a th th i th	VERB:I	furnish_(a_place)	يفرُش المكان بالأثاث المنزلي	أبوي مش ناوي يؤثِّث الدّار الّا لمّا أخوي يخلص توجيهي.			شهد دعباس
39	ء.ث.ث		ء	أَثَّث	أثث	أَثَّث	>av~av	>av~av	2 a th th a th	VERB:P	furnish_(a_place)_[auto]					شهد دعباس
40	ء.ث.ر		ء	مُؤَثِّر	مؤثر	مُؤَثِّر	mu&av~ir	mu&av~ir	m u 2 a S S i r	ADJ:MS	influential;touching	مُؤَثِّر	أنت شب عنجد مُؤَثِّر ورائع وكلنا كفلسطينيين بنفتخر فيك.#بعتذر لأني فتحت موضوع مُؤَثِّر. ما كان قصدي أعكنن عليك.			شهد دعباس
41	ء.ث.ر		ء	مْؤَثِّر	مؤثر	مْؤَثِّر	mo&av~ir	mo&av~ir	m 2 a S S i r	NOUN_ACT:MS	affecting	مُؤَثِّر	هالشي كان مْؤَثِّر فيني من زمان بس هلّا بَطَّل فارق معي			شهد دعباس
42	ء.ث.ر		ء	أَثَرِي	أثري	أَثَرِي	>avariy	>avariy	2 a S a r i	ADJ:MS	historical	أثَرِي	وين عندكم مواقع أثَرِيِّة ببيت ليد بقدر أروح عليها مع صاحبتي؟			شهد دعباس
43	ء.ث.ر		ء	أَثَر	أثر	أَثَر	>avar	>avar	2 a S a r	NOUN:MS	trace;effect	أثَر	الأَثَر اللي تركه أبوي الله يرحمه عمره مابنتسى			شهد دعباس
44	ء.ث.ر		ء	تَأْثِير	تأثير	تَأْثِير	ta>oviyr	ta>oviyr	t a 2 S ii r	NOUN:MS	effect	تأْثِير	تأْثِير التغيرات المناخية على محاصيلنا كان كبير كثير هالسنة. انضربت الجوافة هالسنة.			شهد دعباس
45	ء.ث.ر		ء	أَثَر	أثر	آثَار	>avar	|vaAr	2 aa S aa r	NOUN:P	trace;effect_[auto]		بحاول أتعافَى من آثار الصدمة			شهد دعباس
46	ء.ث.ر		ء	آثَار	آثار	آثَار	|vaAr	|vaAr	2 aa S aa r	NOUN:P	monuments	معالم أثريَّة	دكتور صبري باقي يشتغل بالثمانينات مع فريق ألماني بيدرسوا آثار الأردن	Plural Only		شهد دعباس
47	ء.ث.ر		ء	أَثَر	أثر	آثَار جَانبيِّة	>avar	|vaAr jaAnby~ip	2 aa S aa r # J aa n i b i y y e	NOUN:PHRASE	side_effects	آثار جانبيَّة	أكيد أي دوا إِله آثار جانبية فبدك تطولي بالك وماتقلقي			شهد دعباس
48	ء.ث.ر		ء	أَثَر	أثر	أَخذت من أثره	>avar	>ax*t mn >vrh	2 a kh D a t # m i n # 2 a S a r o	NOUN:PHRASE	take_sb's_trace_in_order_to_use_black_magic_on_his/her_life		الفتّاحة بس تيجي تعملِّك العمل رح تطلب منك تاخذي شي من أثرُه زي بلوزة أو غيار داخلي			شهد دعباس
49	ء.ث.ر		ء	أَثَّر	أثر	أَثَِّر	>ava~r	>ava~ir	2 a S S i r	VERB:C	affect_[auto]					شهد دعباس
