arabizi,arabic_harakat,arabic_stripped
2abad,أَبَد,أبد
2ibre,إِبْرِة,إبرة
2ibar,إِبَر,إبر
qadd khurum 2il2ibre,قَدّ خُرُم الإِبْرِة,قد خرم الإبرة
2ibritil 3ajuuze,إِبْرِة العَجُوزِة,إبرة العجوزة
2il2ibre ghalbat 2il7aayik,الإِبْرِة غلبت الحَايِك,الإبرة غلبت الحايك
min 2ibirto,مِن إِبْرِتُه,من إبرته
2abaat,أَبَاط,أباط
baat,بَاط,باط
7atto ta7it baato,حَطُّه تحت بَاطُه,حطه تحت باطه
2ab,أَب,أب
2ibwe,إِبْوِة,إبوة
2aabaa2,آبَاء,آباء
2abbahaat,أَبَّهَات,أبهات
2abu 7maar,أَبُو حْمَار,أبو حمار
mish ma3ruuf qar3it 2abuuha min ween,مِش مَعْرُوف قَرْعِة أَبُوهَا مِن وين,مش معروف قرعة أبوها من وين
2abu surra,أَبُو صُرَّة,أبو صرة
2abu kammuune,أَبُو كمُّونة,أبو كمونة
2abul 3urreef,أَبُو العُرِّيف,أبو العريف
2abul 3akkaat,أَبُو العَكَّات,أبو العكات
2abu 3iisa,أَبُو عِيسَى,أبو عيسى
2abu dgheem,أَبُو دْغيم,أبو دغيم
2abu rijil masluukha,أَبُو رِجِل مَسْلُوخَة,أبو رجل مسلوخة
2abu raas,أَبُو رَاس,أبو راس
2abu nuss lsaan,أَبُو نُص لْسَان,أبو نص لسان
2abu qaatuul,أَبُو قَاتُول,أبو قاتول
2abu haaluuk,أَبُو هَالُوك,أبو هالوك
baaba,بَابَا,بابا
yaaba,يَابَا,يابا
2abu,أَبُو,أبو
2abeela,أَبَيلَا,أبيلا
2ataari,أَتَاري,أتاري
2ataari,أَتَاري,أتاري
m2aththath,مؤثَّث,مؤثث
2athaath,أَثَاث,أثاث
ta2thiith,تَأْثِيث,تأثيث
2aththith,أَثِّث,أثث
y2aththith,يؤثِّث,يؤثث
2aththath,أَثَّث,أثث
mu2assir,مُؤَثِّر,مؤثر
m2assir,مْؤَثِّر,مؤثر
2asari,أَثَرِي,أثري
2asar,أَثَر,أثر
ta2siir,تَأْثِير,تأثير
2aasaar,آثَار,آثار
2aasaar,آثَار,آثار
2aasaar jaanibiyye,آثَار جَانبيِّة,آثار جانبية
2akhdat min 2asaro,أَخذت من أثره,أخذت من أثره
2assir,أَثَِّر,أثر
mit2assir,مِتْأَثِّر,متأثر
y2assir,يؤثِّر,يؤثر
2assar,أَثَّر,أثر
2aathir,آثِر,آثر
y2aathir,يآثِر,يآثر
2aathar,آثَر,آثر
m2ajjir,مْؤَجِّر,مؤجر
m2ajjar,مْؤَجَّر,مؤجر
2u2jar,اُؤْجَر,اؤجر
yu2jar,يُؤْجَر,يؤجر
m2ajjir,مْأَجِّر,مأجر
2ujra,أُجْرَة,أجرة
2ujrit 2iido,أُجْرِة إِيدُه,أجرة إيده
2ijaar,إِيجَار,إيجار
2ajaar,أَجَار,أجار
ta2jiir,تَأْجِير,تأجير
2ajir,أَجِر,أجر
3aqid 2iijaar,عَقِد إِيجَار,عقد إيجار
2iijaar min 2ilbaatin,إِيجَار مِن البَاطِن,إيجار من الباطن
2ajjir,أَجِّر,أجر
2ista2jir,اِسْتَأْجِر,استأجر
y2ajjir,يؤجِّر,يؤجر
yista2jir,يِسْتَأْجِر,يستأجر
2ajjar,أَجَّر,أجر
2ista2jar,اِسْتَأْجَر,استأجر
2ujir,أُجِر,أجر
m2ajjal,مْؤَجَّل,مؤجل
2ajal,أَجَل,أجل
ta2jiil,تَأْجِيل,تأجيل
2ajjil,أَجِّل,أجل
y2ajjil,يؤجِّل,يؤجل
2ajjal,أَجَّل,أجل
2i7na,إِحْنَا,إحنا
mittaakhid,مِتَّاخِذ,متاخذ
maakhid,مَاخِذ,ماخذ
meekhid,مِاخِذ,ماخذ
qaalat khudu,قَالَت خُذُوَا,قالت خذوا
2akhid,أَخِذ,أخذ
ma2khaz,مَأْخَذ,مأخذ
ma2aakhiz,مَآخِذ,مآخذ
loono mittaakhid,لَونُه مِتَّاخِذ,لونه متاخذ
2akhadna 3aba3ad,أَخَذْنَا عَبَعَض,أخذنا عبعض
2akhad min 2abuu,أَخَذ من أَبُوه,أخذ من أبوه
maakhid 3alwadi3,مَاخِذ عَالْوَضِع,ماخذ عالوضع
2aakhiz,آخِذ,آخذ
khud,خُذ,خذ
y2aakhiz,يآخِذ,يآخذ
yookhid,يَوخِذ,يوخذ
yaakhud,يَاخُذ,ياخذ
2aakhaz,آخَذ,آخذ
2akhad,أَخَذ,أخذ
wakhadh,وَخَذ,وخذ
yookhidh,يَوخِذ,يوخذ
khudh,خُذ,خذ
waakhaz,وَاخَذ,واخذ
ywaakhiz,يوَاخِذ,يواخذ
waakhiz,وَاخِذ,واخذ
2akhd,أَخْذ,أخذ
mwaakhaze,مْوَاخَذِة,مواخذة
mu2aakhaze,مُؤَاخَذِة,مؤاخذة
3adam 2ilmu2aakhaze,عدم المؤَاخذة,عدم المؤاخذة
2akhiir,أَخِير,أخير
2aakhir,آخِر,آخر
mu2akhkhar,مُؤَخَّر,مؤخر
2awaakhir,أَوَاخِر,أواخر
2ukhra,أُخْرَى,أخرى
2ukhra kamaan,أُخْرَى كَمان,أخرى كمان
2ukhrayyaat,أُخْرَيَّات,أخريات
m2akhkhir,مْؤَخِّر,مؤخر
2aakhre,آخْرِة,آخرة
2aakhre,آخْرِة,آخرة
ta2khiir,تَأْخِير,تأخير
2aakhuur,آخُور,آخور
mu2akhkhar,مُؤَخَّر,مؤخر
2awaakhiir,آوَاخِير,آواخير
2aakhir 2il3anquud,آخِر العَنْقُود,آخر العنقود
2aakhir 2iddinya,آخِر الدِّنْيَا,آخر الدنيا
2aakhir maa 3ammar 2alla,آخِر مَا عَمَّر الله,آخر ما عمر الله
2aakhir 2ilmiktha,آخر المِكْثَا,آخر المكثا
rijil biddinyaaw rijil bil2aakhre,رجل بَالدنيَا ورجل بَالآخْرِة,رجل بالدنيا ورجل بالآخرة
3al2akhiir,عَالأَخِير,عالأخير
2aakhir tarz,آخِر طَرْز,آخر طرز
2akhkhir,أَخِّر,أخر
2ista2khir,اِسْتَأْخِر,استأخر
mit2akhkhir,مِتْأَخِّر,متأخر
2ita2akhkhar,اِتْأَخَّر,اتأخر
yita2akhkhar,يِتْأَخَّر,يتأخر
ta2akhkhar,تْأَخَّر,تأخر
y2akhkhir,يؤخِّر,يؤخر
yista2khir,يِسْتَأْخِر,يستأخر
