length_bucket,total,correct,errors,sequence_accuracy,error_rate,length_type
0-9,2662,2399,263,0.9012021036814425,0.09879789631855748,source
10-19,743,497,246,0.6689098250336474,0.3310901749663526,source
20-29,60,0,60,0.0,1.0,source
30-39,15,0,15,0.0,1.0,source
40-49,1,0,1,0.0,1.0,source
50-59,2,0,2,0.0,1.0,source
80-89,1,0,1,0.0,1.0,source
0-9,2984,2720,264,0.9115281501340483,0.08847184986595175,target
10-19,412,176,236,0.42718446601941745,0.5728155339805825,target
100-109,1,0,1,0.0,1.0,target
20-29,64,0,64,0.0,1.0,target
30-39,16,0,16,0.0,1.0,target
40-49,4,0,4,0.0,1.0,target
50-59,2,0,2,0.0,1.0,target
70-79,1,0,1,0.0,1.0,target
