epoch,split,length_bucket,correct,total,sequence_accuracy
1,val,0-9,0,2546,0.0
1,val,10-19,0,826,0.0
1,val,20-29,0,80,0.0
1,val,30-39,0,20,0.0
1,val,40-49,0,9,0.0
1,val,50-59,0,1,0.0
2,val,0-9,0,2546,0.0
2,val,10-19,0,826,0.0
2,val,20-29,0,80,0.0
2,val,30-39,0,20,0.0
2,val,40-49,0,9,0.0
2,val,50-59,0,1,0.0
3,val,0-9,0,2546,0.0
3,val,10-19,0,826,0.0
3,val,20-29,0,80,0.0
3,val,30-39,0,20,0.0
3,val,40-49,0,9,0.0
3,val,50-59,0,1,0.0
4,val,0-9,0,2546,0.0
4,val,10-19,0,826,0.0
4,val,20-29,0,80,0.0
4,val,30-39,0,20,0.0
4,val,40-49,0,9,0.0
4,val,50-59,0,1,0.0
5,val,0-9,1,2546,0.00039277297721916735
5,val,10-19,0,826,0.0
5,val,20-29,0,80,0.0
5,val,30-39,0,20,0.0
5,val,40-49,0,9,0.0
5,val,50-59,0,1,0.0
6,val,0-9,14,2546,0.0054988216810683424
6,val,10-19,2,826,0.002421307506053269
6,val,20-29,0,80,0.0
6,val,30-39,0,20,0.0
6,val,40-49,0,9,0.0
6,val,50-59,0,1,0.0
7,val,0-9,76,2546,0.029850746268656716
7,val,10-19,2,826,0.002421307506053269
7,val,20-29,0,80,0.0
7,val,30-39,0,20,0.0
7,val,40-49,0,9,0.0
7,val,50-59,0,1,0.0
8,val,0-9,178,2546,0.06991358994501179
8,val,10-19,17,826,0.020581113801452784
8,val,20-29,0,80,0.0
8,val,30-39,0,20,0.0
8,val,40-49,0,9,0.0
8,val,50-59,0,1,0.0
9,val,0-9,276,2546,0.10840534171249018
9,val,10-19,32,826,0.0387409200968523
9,val,20-29,0,80,0.0
9,val,30-39,0,20,0.0
9,val,40-49,0,9,0.0
9,val,50-59,0,1,0.0
10,val,0-9,366,2546,0.14375490966221524
10,val,10-19,43,826,0.05205811138014528
10,val,20-29,0,80,0.0
10,val,30-39,0,20,0.0
10,val,40-49,0,9,0.0
10,val,50-59,0,1,0.0
11,val,0-9,493,2546,0.19363707776904948
11,val,10-19,64,826,0.0774818401937046
11,val,20-29,0,80,0.0
11,val,30-39,0,20,0.0
11,val,40-49,0,9,0.0
11,val,50-59,0,1,0.0
12,val,0-9,659,2546,0.2588373919874313
12,val,10-19,75,826,0.09079903147699758
12,val,20-29,0,80,0.0
12,val,30-39,0,20,0.0
12,val,40-49,0,9,0.0
12,val,50-59,0,1,0.0
13,val,0-9,766,2546,0.30086410054988216
13,val,10-19,100,826,0.12106537530266344
13,val,20-29,0,80,0.0
13,val,30-39,0,20,0.0
13,val,40-49,0,9,0.0
13,val,50-59,0,1,0.0
14,val,0-9,885,2546,0.3476040848389631
14,val,10-19,114,826,0.13801452784503632
14,val,20-29,0,80,0.0
14,val,30-39,0,20,0.0
14,val,40-49,0,9,0.0
14,val,50-59,0,1,0.0
15,val,0-9,919,2546,0.3609583660644148
15,val,10-19,121,826,0.14648910411622276
15,val,20-29,0,80,0.0
15,val,30-39,0,20,0.0
15,val,40-49,0,9,0.0
15,val,50-59,0,1,0.0
16,val,0-9,1014,2546,0.3982717989002357
16,val,10-19,132,826,0.15980629539951574
16,val,20-29,0,80,0.0
16,val,30-39,0,20,0.0
16,val,40-49,0,9,0.0
16,val,50-59,0,1,0.0
17,val,0-9,1024,2546,0.40219952867242736
17,val,10-19,155,826,0.18765133171912832
17,val,20-29,0,80,0.0
17,val,30-39,0,20,0.0
17,val,40-49,0,9,0.0
17,val,50-59,0,1,0.0
18,val,0-9,1162,2546,0.45640219952867245
18,val,10-19,161,826,0.19491525423728814
18,val,20-29,0,80,0.0
18,val,30-39,0,20,0.0
18,val,40-49,0,9,0.0
18,val,50-59,0,1,0.0
19,val,0-9,1217,2546,0.47800471327572663
19,val,10-19,176,826,0.21307506053268765
19,val,20-29,0,80,0.0
19,val,30-39,0,20,0.0
19,val,40-49,0,9,0.0
19,val,50-59,0,1,0.0
20,val,0-9,1284,2546,0.5043205027494109
20,val,10-19,179,826,0.21670702179176757
20,val,20-29,0,80,0.0
20,val,30-39,0,20,0.0
20,val,40-49,0,9,0.0
20,val,50-59,0,1,0.0
21,val,0-9,1282,2546,0.5035349567949725
21,val,10-19,169,826,0.2046004842615012
21,val,20-29,0,80,0.0
21,val,30-39,0,20,0.0
21,val,40-49,0,9,0.0
21,val,50-59,0,1,0.0
22,val,0-9,1315,2546,0.516496465043205
22,val,10-19,208,826,0.25181598062953997
22,val,20-29,0,80,0.0
22,val,30-39,0,20,0.0
22,val,40-49,0,9,0.0
22,val,50-59,0,1,0.0
23,val,0-9,1332,2546,0.5231736056559309
23,val,10-19,203,826,0.2457627118644068
