length_bucket,total,correct,errors,sequence_accuracy,error_rate,length_type
0-9,2672,1356,1316,0.5074850299401198,0.49251497005988026,source
10-19,671,375,296,0.5588673621460507,0.44113263785394935,source
110-119,1,0,1,0.0,1.0,source
20-29,81,0,81,0.0,1.0,source
30-39,17,0,17,0.0,1.0,source
40-49,3,0,3,0.0,1.0,source
50-59,4,0,4,0.0,1.0,source
60-69,1,0,1,0.0,1.0,source
70-79,1,0,1,0.0,1.0,source
0-9,2985,1598,1387,0.5353433835845897,0.4646566164154104,target
10-19,382,133,249,0.3481675392670157,0.6518324607329843,target
100-109,1,0,1,0.0,1.0,target
20-29,64,0,64,0.0,1.0,target
30-39,11,0,11,0.0,1.0,target
40-49,4,0,4,0.0,1.0,target
50-59,2,0,2,0.0,1.0,target
60-69,2,0,2,0.0,1.0,target
