length_bucket,total,correct,errors,sequence_accuracy,error_rate,length_type
0-9,3254,1632,1622,0.5015365703749232,0.49846342962507684,source
10-19,176,3,173,0.017045454545454544,0.9829545454545454,source
20-29,13,0,13,0.0,1.0,source
30-39,5,0,5,0.0,1.0,source
40-49,2,0,2,0.0,1.0,source
70-79,1,0,1,0.0,1.0,source
0-9,2985,1515,1470,0.507537688442211,0.49246231155778897,target
10-19,382,120,262,0.31413612565445026,0.6858638743455497,target
100-109,1,0,1,0.0,1.0,target
20-29,64,0,64,0.0,1.0,target
30-39,11,0,11,0.0,1.0,target
40-49,4,0,4,0.0,1.0,target
50-59,2,0,2,0.0,1.0,target
60-69,2,0,2,0.0,1.0,target
