k,total,hits,top_k_accuracy,length_type,length_bucket,evaluation_source_col
1,1000,465,0.465,overall,all,arabic_stripped
3,1000,751,0.751,overall,all,arabic_stripped
5,1000,826,0.826,overall,all,arabic_stripped
10,1000,874,0.874,overall,all,arabic_stripped
1,936,464,0.49572649572649574,source,0-9,arabic_stripped
1,59,1,0.01694915254237288,source,10-19,arabic_stripped
1,3,0,0.0,source,20-29,arabic_stripped
1,1,0,0.0,source,40-49,arabic_stripped
1,1,0,0.0,source,70-79,arabic_stripped
3,936,750,0.8012820512820513,source,0-9,arabic_stripped
3,59,1,0.01694915254237288,source,10-19,arabic_stripped
3,3,0,0.0,source,20-29,arabic_stripped
3,1,0,0.0,source,40-49,arabic_stripped
3,1,0,0.0,source,70-79,arabic_stripped
5,936,823,0.8792735042735043,source,0-9,arabic_stripped
5,59,3,0.05084745762711865,source,10-19,arabic_stripped
5,3,0,0.0,source,20-29,arabic_stripped
5,1,0,0.0,source,40-49,arabic_stripped
5,1,0,0.0,source,70-79,arabic_stripped
10,936,870,0.9294871794871795,source,0-9,arabic_stripped
10,59,4,0.06779661016949153,source,10-19,arabic_stripped
10,3,0,0.0,source,20-29,arabic_stripped
10,1,0,0.0,source,40-49,arabic_stripped
10,1,0,0.0,source,70-79,arabic_stripped
1,855,428,0.5005847953216375,target,0-9,arabic_stripped
1,116,37,0.31896551724137934,target,10-19,arabic_stripped
1,1,0,0.0,target,100-109,arabic_stripped
1,25,0,0.0,target,20-29,arabic_stripped
1,2,0,0.0,target,30-39,arabic_stripped
1,1,0,0.0,target,60-69,arabic_stripped
3,855,703,0.8222222222222222,target,0-9,arabic_stripped
3,116,48,0.41379310344827586,target,10-19,arabic_stripped
3,1,0,0.0,target,100-109,arabic_stripped
3,25,0,0.0,target,20-29,arabic_stripped
3,2,0,0.0,target,30-39,arabic_stripped
3,1,0,0.0,target,60-69,arabic_stripped
5,855,774,0.9052631578947369,target,0-9,arabic_stripped
5,116,52,0.4482758620689655,target,10-19,arabic_stripped
5,1,0,0.0,target,100-109,arabic_stripped
5,25,0,0.0,target,20-29,arabic_stripped
5,2,0,0.0,target,30-39,arabic_stripped
5,1,0,0.0,target,60-69,arabic_stripped
10,855,814,0.952046783625731,target,0-9,arabic_stripped
10,116,60,0.5172413793103449,target,10-19,arabic_stripped
10,1,0,0.0,target,100-109,arabic_stripped
10,25,0,0.0,target,20-29,arabic_stripped
10,2,0,0.0,target,30-39,arabic_stripped
10,1,0,0.0,target,60-69,arabic_stripped
