length_bucket,total,correct,errors,sequence_accuracy,error_rate,length_type
0-9,2985,2452,533,0.8214405360134003,0.17855946398659966,source
10-19,382,161,221,0.4214659685863874,0.5785340314136126,source
100-109,1,0,1,0.0,1.0,source
20-29,64,2,62,0.03125,0.96875,source
30-39,11,0,11,0.0,1.0,source
40-49,4,1,3,0.25,0.75,source
50-59,2,0,2,0.0,1.0,source
60-69,2,0,2,0.0,1.0,source
0-9,3254,2602,652,0.7996312231100184,0.20036877688998156,target
10-19,176,13,163,0.07386363636363637,0.9261363636363636,target
20-29,13,1,12,0.07692307692307693,0.9230769230769231,target
30-39,5,0,5,0.0,1.0,target
40-49,2,0,2,0.0,1.0,target
70-79,1,0,1,0.0,1.0,target
