k,total,hits,top_k_accuracy,length_type,length_bucket
1,1000,775,0.775,overall,all
3,1000,888,0.888,overall,all
5,1000,904,0.904,overall,all
10,1000,917,0.917,overall,all
1,855,718,0.839766081871345,source,0-9
1,116,56,0.4827586206896552,source,10-19
1,1,0,0.0,source,100-109
1,25,1,0.04,source,20-29
1,2,0,0.0,source,30-39
1,1,0,0.0,source,60-69
3,855,826,0.9660818713450292,source,0-9
3,116,61,0.5258620689655172,source,10-19
3,1,0,0.0,source,100-109
3,25,1,0.04,source,20-29
3,2,0,0.0,source,30-39
3,1,0,0.0,source,60-69
5,855,839,0.9812865497076023,source,0-9
5,116,64,0.5517241379310345,source,10-19
5,1,0,0.0,source,100-109
5,25,1,0.04,source,20-29
5,2,0,0.0,source,30-39
5,1,0,0.0,source,60-69
10,855,849,0.9929824561403509,source,0-9
10,116,67,0.5775862068965517,source,10-19
10,1,0,0.0,source,100-109
10,25,1,0.04,source,20-29
10,2,0,0.0,source,30-39
10,1,0,0.0,source,60-69
1,936,772,0.8247863247863247,target,0-9
1,59,3,0.05084745762711865,target,10-19
1,3,0,0.0,target,20-29
1,1,0,0.0,target,40-49
1,1,0,0.0,target,70-79
3,936,885,0.9455128205128205,target,0-9
3,59,3,0.05084745762711865,target,10-19
3,3,0,0.0,target,20-29
3,1,0,0.0,target,40-49
3,1,0,0.0,target,70-79
5,936,901,0.9626068376068376,target,0-9
5,59,3,0.05084745762711865,target,10-19
5,3,0,0.0,target,20-29
5,1,0,0.0,target,40-49
5,1,0,0.0,target,70-79
10,936,914,0.9764957264957265,target,0-9
10,59,3,0.05084745762711865,target,10-19
10,3,0,0.0,target,20-29
10,1,0,0.0,target,40-49
10,1,0,0.0,target,70-79
