length_bucket,total,correct,errors,sequence_accuracy,error_rate,length_type
0-9,2717,1404,1313,0.5167464114832536,0.48325358851674644,source
10-19,677,374,303,0.552437223042836,0.44756277695716395,source
20-29,47,0,47,0.0,1.0,source
30-39,7,0,7,0.0,1.0,source
40-49,1,0,1,0.0,1.0,source
50-59,2,0,2,0.0,1.0,source
0-9,2996,1645,1351,0.5490654205607477,0.45093457943925236,target
10-19,375,133,242,0.3546666666666667,0.6453333333333333,target
20-29,65,0,65,0.0,1.0,target
30-39,11,0,11,0.0,1.0,target
40-49,3,0,3,0.0,1.0,target
60-69,1,0,1,0.0,1.0,target
