epoch,split,length_bucket,correct,total,sequence_accuracy
1,val,0-9,0,2553,0.0
1,val,10-19,0,795,0.0
1,val,100-109,0,1,0.0
1,val,20-29,0,68,0.0
1,val,30-39,0,21,0.0
1,val,40-49,0,5,0.0
1,val,50-59,0,3,0.0
1,val,60-69,0,2,0.0
1,val,70-79,0,1,0.0
2,val,0-9,0,2553,0.0
2,val,10-19,0,795,0.0
2,val,100-109,0,1,0.0
2,val,20-29,0,68,0.0
2,val,30-39,0,21,0.0
2,val,40-49,0,5,0.0
2,val,50-59,0,3,0.0
2,val,60-69,0,2,0.0
2,val,70-79,0,1,0.0
3,val,0-9,0,2553,0.0
3,val,10-19,0,795,0.0
3,val,100-109,0,1,0.0
3,val,20-29,0,68,0.0
3,val,30-39,0,21,0.0
3,val,40-49,0,5,0.0
3,val,50-59,0,3,0.0
3,val,60-69,0,2,0.0
3,val,70-79,0,1,0.0
4,val,0-9,0,2553,0.0
4,val,10-19,0,795,0.0
4,val,100-109,0,1,0.0
4,val,20-29,0,68,0.0
4,val,30-39,0,21,0.0
4,val,40-49,0,5,0.0
4,val,50-59,0,3,0.0
4,val,60-69,0,2,0.0
4,val,70-79,0,1,0.0
5,val,0-9,1,2553,0.0003916960438699569
5,val,10-19,0,795,0.0
5,val,100-109,0,1,0.0
5,val,20-29,0,68,0.0
5,val,30-39,0,21,0.0
5,val,40-49,0,5,0.0
5,val,50-59,0,3,0.0
5,val,60-69,0,2,0.0
5,val,70-79,0,1,0.0
6,val,0-9,9,2553,0.0035252643948296123
6,val,10-19,0,795,0.0
6,val,100-109,0,1,0.0
6,val,20-29,0,68,0.0
6,val,30-39,0,21,0.0
6,val,40-49,0,5,0.0
6,val,50-59,0,3,0.0
6,val,60-69,0,2,0.0
6,val,70-79,0,1,0.0
7,val,0-9,37,2553,0.014492753623188406
7,val,10-19,3,795,0.0037735849056603774
7,val,100-109,0,1,0.0
7,val,20-29,0,68,0.0
7,val,30-39,0,21,0.0
7,val,40-49,0,5,0.0
7,val,50-59,0,3,0.0
7,val,60-69,0,2,0.0
7,val,70-79,0,1,0.0
8,val,0-9,77,2553,0.030160595377986682
8,val,10-19,22,795,0.027672955974842768
8,val,100-109,0,1,0.0
8,val,20-29,0,68,0.0
8,val,30-39,0,21,0.0
8,val,40-49,0,5,0.0
8,val,50-59,0,3,0.0
8,val,60-69,0,2,0.0
8,val,70-79,0,1,0.0
9,val,0-9,152,2553,0.05953779866823345
9,val,10-19,27,795,0.033962264150943396
9,val,100-109,0,1,0.0
9,val,20-29,0,68,0.0
9,val,30-39,0,21,0.0
9,val,40-49,0,5,0.0
9,val,50-59,0,3,0.0
