length_bucket,total,correct,errors,sequence_accuracy,error_rate,length_type
0-9,13669,8405,5264,0.6148950179237691,0.3851049820762309,source
10-19,3250,2478,772,0.7624615384615384,0.23753846153846153,source
20-29,257,149,108,0.5797665369649806,0.42023346303501946,source
30-39,58,22,36,0.3793103448275862,0.6206896551724138,source
40-49,11,2,9,0.18181818181818182,0.8181818181818182,source
50-59,3,0,3,0.0,1.0,source
60-69,2,0,2,0.0,1.0,source
0-9,14846,9338,5508,0.6289909739997306,0.3710090260002694,target
10-19,1985,1516,469,0.763727959697733,0.236272040302267,target
100-109,1,0,1,0.0,1.0,target
20-29,296,169,127,0.5709459459459459,0.42905405405405406,target
30-39,78,23,55,0.2948717948717949,0.7051282051282052,target
40-49,35,10,25,0.2857142857142857,0.7142857142857143,target
50-59,6,0,6,0.0,1.0,target
60-69,1,0,1,0.0,1.0,target
70-79,1,0,1,0.0,1.0,target
90-99,1,0,1,0.0,1.0,target
