epoch,split,length_bucket,correct,total,sequence_accuracy
1,val,0-9,0,12659,0.0
1,val,10-19,0,4083,0.0
1,val,20-29,0,335,0.0
1,val,30-39,0,107,0.0
1,val,40-49,0,43,0.0
1,val,50-59,0,13,0.0
1,val,60-69,0,7,0.0
1,val,70-79,0,1,0.0
2,val,0-9,46,12659,0.0036337783395212894
2,val,10-19,3,4083,0.0007347538574577516
2,val,20-29,0,335,0.0
2,val,30-39,0,107,0.0
2,val,40-49,0,43,0.0
2,val,50-59,0,13,0.0
2,val,60-69,0,7,0.0
2,val,70-79,0,1,0.0
3,val,0-9,194,12659,0.015325065171024568
3,val,10-19,32,4083,0.007837374479549351
3,val,20-29,0,335,0.0
3,val,30-39,0,107,0.0
3,val,40-49,0,43,0.0
3,val,50-59,0,13,0.0
3,val,60-69,0,7,0.0
3,val,70-79,0,1,0.0
4,val,0-9,463,12659,0.03657476893909471
4,val,10-19,86,4083,0.021062943913788882
4,val,20-29,0,335,0.0
4,val,30-39,0,107,0.0
4,val,40-49,0,43,0.0
4,val,50-59,0,13,0.0
4,val,60-69,0,7,0.0
4,val,70-79,0,1,0.0
5,val,0-9,788,12659,0.06224820285962556
5,val,10-19,128,4083,0.031349497918197404
5,val,20-29,0,335,0.0
5,val,30-39,0,107,0.0
5,val,40-49,0,43,0.0
5,val,50-59,0,13,0.0
5,val,60-69,0,7,0.0
5,val,70-79,0,1,0.0
6,val,0-9,1058,12659,0.08357690180898965
6,val,10-19,183,4083,0.04481998530492285
6,val,20-29,0,335,0.0
6,val,30-39,0,107,0.0
6,val,40-49,0,43,0.0
6,val,50-59,0,13,0.0
6,val,60-69,0,7,0.0
6,val,70-79,0,1,0.0
7,val,0-9,1484,12659,0.11722884904020854
7,val,10-19,347,4083,0.08498652951261328
7,val,20-29,0,335,0.0
7,val,30-39,0,107,0.0
7,val,40-49,0,43,0.0
7,val,50-59,0,13,0.0
7,val,60-69,0,7,0.0
7,val,70-79,0,1,0.0
8,val,0-9,1909,12659,0.1508018010901335
8,val,10-19,458,4083,0.11217242223855009
8,val,20-29,0,335,0.0
