k,total,hits,top_k_accuracy,length_type,length_bucket
1,1000,654,0.654,overall,all
3,1000,922,0.922,overall,all
5,1000,967,0.967,overall,all
10,1000,983,0.983,overall,all
1,792,505,0.6376262626262627,source,0-9
1,190,143,0.7526315789473684,source,10-19
1,14,6,0.42857142857142855,source,20-29
1,2,0,0.0,source,30-39
1,1,0,0.0,source,50-59
1,1,0,0.0,source,60-69
3,792,734,0.9267676767676768,source,0-9
3,190,176,0.9263157894736842,source,10-19
3,14,10,0.7142857142857143,source,20-29
3,2,2,1.0,source,30-39
3,1,0,0.0,source,50-59
3,1,0,0.0,source,60-69
5,792,773,0.976010101010101,source,0-9
5,190,180,0.9473684210526315,source,10-19
5,14,12,0.8571428571428571,source,20-29
5,2,2,1.0,source,30-39
5,1,0,0.0,source,50-59
5,1,0,0.0,source,60-69
10,792,785,0.9911616161616161,source,0-9
10,190,183,0.9631578947368421,source,10-19
10,14,13,0.9285714285714286,source,20-29
10,2,2,1.0,source,30-39
10,1,0,0.0,source,50-59
10,1,0,0.0,source,60-69
1,858,553,0.6445221445221445,target,0-9
1,115,91,0.7913043478260869,target,10-19
1,1,0,0.0,target,100-109
1,20,10,0.5,target,20-29
1,4,0,0.0,target,30-39
1,1,0,0.0,target,40-49
1,1,0,0.0,target,70-79
3,858,797,0.9289044289044289,target,0-9
3,115,106,0.9217391304347826,target,10-19
3,1,0,0.0,target,100-109
3,20,16,0.8,target,20-29
3,4,2,0.5,target,30-39
3,1,1,1.0,target,40-49
3,1,0,0.0,target,70-79
5,858,838,0.9766899766899767,target,0-9
5,115,108,0.9391304347826087,target,10-19
5,1,0,0.0,target,100-109
5,20,17,0.85,target,20-29
5,4,3,0.75,target,30-39
5,1,1,1.0,target,40-49
5,1,0,0.0,target,70-79
10,858,851,0.9918414918414918,target,0-9
10,115,109,0.9478260869565217,target,10-19
10,1,0,0.0,target,100-109
10,20,19,0.95,target,20-29
10,4,3,0.75,target,30-39
10,1,1,1.0,target,40-49
10,1,0,0.0,target,70-79
