split,direction,length_type,length_bucket,total,correct,sequence_accuracy,error_rate
test,arabic_to_arabizi,source,0-9,3409,1634,0.4793194485186272,0.5206805514813728
test,arabic_to_arabizi,source,10-19,189,3,0.015873015873015872,0.9841269841269842
test,arabic_to_arabizi,source,20-29,24,0,0.0,1.0
test,arabic_to_arabizi,source,30-39,6,0,0.0,1.0
test,arabic_to_arabizi,source,40-49,2,0,0.0,1.0
test,arabic_to_arabizi,source,50-59,1,0,0.0,1.0
test,arabic_to_arabizi,target,0-9,3100,1522,0.49096774193548387,0.5090322580645161
test,arabic_to_arabizi,target,10-19,437,115,0.2631578947368421,0.736842105263158
test,arabic_to_arabizi,target,20-29,65,0,0.0,1.0
test,arabic_to_arabizi,target,30-39,15,0,0.0,1.0
test,arabic_to_arabizi,target,40-49,10,0,0.0,1.0
test,arabic_to_arabizi,target,50-59,1,0,0.0,1.0
test,arabic_to_arabizi,target,60-69,3,0,0.0,1.0
test,arabizi_to_arabic,source,0-9,3124,2390,0.765044814340589,0.23495518565941098
test,arabizi_to_arabic,source,10-19,424,152,0.3584905660377358,0.6415094339622642
test,arabizi_to_arabic,source,20-29,57,0,0.0,1.0
test,arabizi_to_arabic,source,30-39,18,0,0.0,1.0
test,arabizi_to_arabic,source,40-49,5,0,0.0,1.0
test,arabizi_to_arabic,source,50-59,2,0,0.0,1.0
test,arabizi_to_arabic,source,70-79,1,0,0.0,1.0
test,arabizi_to_arabic,target,0-9,3419,2531,0.740274934191284,0.259725065808716
test,arabizi_to_arabic,target,10-19,183,11,0.060109289617486336,0.9398907103825137
test,arabizi_to_arabic,target,20-29,23,0,0.0,1.0
test,arabizi_to_arabic,target,30-39,5,0,0.0,1.0
test,arabizi_to_arabic,target,50-59,1,0,0.0,1.0
